ï»¿Date,Home,Away,HG,AG,H_Max,D_Max,A_Max,H_Avg,D_Avg,A_Avg,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG
10/10/2025,Sao Tome and Principe,Tunisia,0,6,46,17,1.04,34.53,14.1,1.03,6,16,4,12,13,20,3,7,1,1,0,0,,
10/10/2025,Seychelles,Ivory Coast,0,7,151,67,1.02,65.2,33.2,1.01,4,30,1,17,,,2,16,3,0,0,0,,
10/10/2025,South Sudan,Senegal,0,5,23,9,1.15,17.88,7.66,1.12,0,5,0,5,9,9,0,5,1,0,0,0,,
10/10/2025,Sudan,Mauritania,0,0,2.1,3.14,4.2,2.02,3.02,3.9,8,7,0,2,10,4,5,0,2,2,0,0,,
10/10/2025,Suriname,Guatemala,1,1,2.5,3.1,3.6,2.36,2.94,3.1,14,7,5,2,11,10,6,3,1,1,0,0,0.47,0.3
10/10/2025,Sweden,Switzerland,0,2,2.5,3.6,2.87,2.43,3.43,2.78,7,17,0,8,13,10,4,9,1,1,0,0,0.91,2.14
10/10/2025,Togo,D.R. Congo,0,1,4.75,3.4,1.98,4.09,3.22,1.89,3,4,2,1,8,30,5,2,0,2,0,0,,
10/10/2025,Zimbabwe,South Africa,0,0,29,5,1.25,17.5,4.79,1.22,3,10,2,2,10,14,4,14,4,2,1,1,,
09/10/2025,Austria,San Marino,10,0,1.01,81,151,1,43.27,76.18,25,4,14,1,14,9,4,2,1,3,0,0,5.84,0.46
09/10/2025,Belarus,Denmark,0,6,28,9,1.15,22.76,8.26,1.12,5,24,1,11,10,9,4,7,2,1,0,0,0.32,4.72
09/10/2025,Botswana,Uganda,0,1,3.4,3.1,2.38,3.24,2.96,2.28,7,14,1,7,,,3,5,3,0,0,0,,
09/10/2025,Burundi,Kenya,0,1,2.48,3,3.7,2.35,2.91,3.19,7,6,3,3,7,16,1,3,0,3,1,0,,
09/10/2025,Cyprus,Bosnia & Herzegovina,2,2,4.1,3.5,2.1,3.8,3.38,1.99,14,14,3,6,16,19,3,5,2,4,0,0,2.15,1.5
09/10/2025,Czech Republic,Croatia,0,0,3.33,3.5,2.25,3.2,3.38,2.2,11,10,2,2,17,8,5,6,0,2,0,0,0.63,0.77
